
Dump of file ollydbg.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ollydbg.exe

    00000000 characteristics
           0 time date stamp Thu Jan 01 01:00:00 1970
        0.00 version
           1 ordinal base
         456 number of functions
         456 number of names

    ordinal hint RVA      name

         34    0 00005630 Absolutizepath
        100    1 00022DB4 Activatetablewindow
        203    2 0006F4E0 Addjump
        260    3 0008677C Addnesteddata
        326    4 000C3074 Addprotocolrange
        219    5 000705E0 Addrange
        160    6 00039378 Addsimpledata
         69    7 000168E4 Addsorteddata
        104    8 00029140 Addstringtocombolist
        236    9 00076AD8 Addtohistory
        356    A 00018880 Addtolist
         12    B 000026C8 Addtosettings
        317    C 000B69EC Alignselection
        208    D 0006FC34 Arelocaljumpscallstorange
         19    E 0000334C Asciitounicode
        121    F 0002DB1C Asmindump
        280   10 0008FDDC Assemble
        279   11 0008BECC Assembleallforms
        321   12 000BB838 Backupusercode
        124   13 000303C4 Binaryedit
        388   14 0000F9A1 Bitcount
         30   15 00003AAC Broadcast
         32   16 000054A8 Browsedirectory
         31   17 0000478C Browsefilename
        166   18 0003F180 Byteregtodwordreg
        292   19 0009C698 Cexpression
        282   1A 00093838 Checkcondition
        184   1B 00050C3C Checkfordebugevent
        238   1C 00076D64 Checkhistory
        181   1D 0004F6F4 Closeprocess
        308   1E 000A8820 Closetaggedfile
        176   1F 00046E28 Cmdinfo
        278   20 00089C40 Commentaddress
        169   21 0003FE10 Commentcharacter
        297   22 000A3E10 Comparecommand
        298   23 000A3FDC Comparesequence
        299   24 000A7B7C Compress
        127   25 00031228 Condbreakpoint
        347   26 00001E8C Conderror
        128   27 00031578 Condlogbreakpoint
        348   28 000022DC Condyesno
        289   29 00096EBC Confirmhardwarebreakpoint
        288   2A 00096E78 Confirmint3breakpoint
        290   2B 00096F00 Confirmint3breakpointlist
         35   2C 0000571C Confirmoverwrite
         72   2D 000177F8 Confirmsorteddata
        322   2E 000BC160 Copydumpselection
        192   2F 00057E18 Copymemoryhex
         97   30 000210FC Copytableselection
         98   31 000215A0 Copywholetable
        324   32 000BE99C Createdumpwindow
        221   33 00072584 Createframewindow
        259   34 000866EC Createnesteddata
         96   35 00020B38 Createottablewindow
